latitud,longitud,temp_media_marzo,temp_media_abril,temp_media_mayo,precipitacion_marzo,precipitacion_abril,precipitacion_mayo,tipo_suelo,ph_suelo,materia_organica_pct,cultivo_anterior,rendimiento_anterior,dia_del_ano
-27.31135147,-61.2973954,27.7,22.52766667,14.5616129,4.109354839,6.379,0.9622580645,Franco limosa,7.45527458190918,3.0542658304146046,Maiz,5000,288
-27.29329007,-61.26099926,27.74096774,22.52767667,14.5616229,4.109364839,6.37901,0.9622680645,Franco limosa,7.263558864593506,3.3431912445750616,Maiz,3400,282
-27.30035425,-61.26078936,27.74097774,22.52768667,14.5616329,4.109374839,6.37902,0.9622780645,Franco limosa,7.263558864593506,1.832967040770586,Maiz,1800,267
-27.31584827,-61.31015123,27.74098774,22.52769667,14.5616429,4.109384839,6.37903,0.9622880645,Franco limosa,7.149832725524902,1.3603559087653472,Maiz,1600,262
-27.30793369,-61.28670034,27.74099774,22.52770667,14.5616529,4.109394839,6.37904,0.9622980645,Franco limosa,7.289262294769287,3.167780372546477,Soja,2900,321
-27.32004188,-61.30697003,27.74100774,22.52771667,14.5616629,4.109404839,6.37905,0.9623080645,Franco limosa,7.047872543334961,2.4006715405977106,Soja,2100,331
-27.3245257,-61.27311283,27.74101774,22.52772667,14.5616729,4.109414839,6.37906,0.9623180645,Franco limosa,7.410413862021621,2.734560249900756,Soja,1376,325
-27.31456059,-61.26916589,27.74102774,22.52773667,14.5616829,4.109424839,6.37907,0.9623280645,Franco limosa,7.1124043464660645,1.5677905216913208,Soja,1200,331
-27.3290329,-61.26439145,27.74103774,22.52774667,14.5616929,4.109434839,6.37908,0.9623380645,Franco limosa,6.955484867095947,1.5295899579236172,Soja,2200,317
-27.32966643,-61.26178351,27.74104774,22.52775667,14.5617029,4.109444839,6.37909,0.9623480645,Franco limosa,6.955484867095947,2.698526938943262,Soja,1600,338
-27.29810966,-61.26365376,27.74105774,22.52776667,14.5617129,4.109454839,6.3791,0.9623580645,Franco limosa,7.263558864593506,3.192468267596892,Soja,980,332
-27.32818363,-61.30094962,27.74106774,22.52777667,14.5617229,4.109464839,6.37911,0.9623680645,Franco limosa,7.181410789489746,2.5898841347106423,Soja,850,332
-27.31243799,-61.27582723,27.74107774,22.52778667,14.5617329,4.109474839,6.37912,0.9623780645,Franco limosa,7.338727951049805,3.2972093749784745,Soja,2801,338
-27.2996421,-61.28981151,27.74108774,22.52779667,14.5617429,4.109484839,6.37913,0.9623880645,Franco limosa,7.225305557250977,3.230583870648121,Soja,2011,335
-27.29982973,-61.25946788,27.74109774,22.52780667,14.5617529,4.109494839,6.37914,0.9623980645,Franco limosa,7.263558864593506,1.9217931008243228,Soja,1360,333
-27.33162392,-61.26025401,27.74110774,22.52781667,14.5617629,4.109504839,6.37915,0.9624080645,Franco limosa,6.955484867095947,1.9102626162029293,Soja,1192,339
-27.32842382,-61.25911774,27.74111774,22.52782667,14.5617729,4.109514839,6.37916,0.9624180645,Franco limosa,7.213386535644531,1.2880816542977698,Trigo,1100,155
-27.31715062,-61.28474657,27.74112774,22.52783667,14.5617829,4.109524839,6.37917,0.9624280645,Franco limosa,7.525203704833984,3.1636266490353906,Trigo,900,157
-27.29167905,-61.28013523,27.74113774,22.52784667,14.5617929,4.109534839,6.37918,0.9624380645,Franco limosa,7.215507030487059,1.5424535537968254,Trigo,900,165
-27.32421058,-61.27526716,27.74114774,22.52785667,14.5618029,4.109544839,6.37919,0.9624480645,Franco limosa,6.370808775648999,2.3477013106911366,Trigo,1000,138
-27.59611822,-61.30603658,27.74115774,22.52786667,14.5618129,4.109554839,6.3792,0.9624580645,Franco limosa,7.1660356521606445,1.911967224252401,Maiz,5200,281
-27.61937333,-61.3058605,27.74116774,22.52787667,14.5618229,4.109564839,6.37921,0.9624680645,Franco limosa,7.298208236694336,3.188242127726549,Maiz,3500,262
-27.63409687,-61.30829481,27.74117774,22.52788667,14.5618329,4.109574839,6.37922,0.9624780645,Franco limosa,7.2219157218933105,1.210443416822684,Maiz,1900,262
-27.60891172,-61.35569295,27.74118774,22.52789667,14.5618429,4.109584839,6.37923,0.9624880645,Franco limosa,7.33880615234375,3.342612142830413,Maiz,1900,262
-27.60221702,-61.33329744,27.74119774,22.52790667,14.5618529,4.109594839,6.37924,0.9624980645,Franco limosa,7.388755321502685,1.2224125206020944,Soja,3100,339
-27.60054227,-61.33620259,27.74120774,22.52791667,14.5618629,4.109604839,6.37925,0.9625080645,Franco limosa,7.264799118041992,2.45901447969499,Soja,1900,329
-27.62133386,-61.3570057,27.74121774,22.52792667,14.5618729,4.109614839,6.37926,0.9625180645,Franco limosa,7.187187671661377,1.7164601972572642,Soja,1375,337
-27.63363984,-61.30723948,27.74122774,22.52793667,14.5618829,4.109624839,6.37927,0.9625280645,Franco limosa,7.2219157218933105,1.8730638517609872,Soja,1200,328
-27.59949374,-61.34808484,27.74123774,22.52794667,14.5618929,4.109634839,6.37928,0.9625380645,Franco limosa,7.2325544357299805,1.7866578569565712,Soja,2600,343
