fecha,temp_media,precipitacion
2010-01-01,21.77,21.84
2010-01-02,23.44,0.18
2010-01-03,24.49,6.82
2010-01-04,24.97,34.74
2010-01-05,26.31,19.92
2010-01-06,18.98,1.03
2010-01-07,19.09,0.0
2010-01-08,22.06,0.0
2010-01-09,25.82,0.34
2010-01-10,26.42,0.27
2010-01-11,25.7,7.17
2010-01-12,18.9,28.61
2010-01-13,19.44,0.0
2010-01-14,22.04,0.0
2010-01-15,23.79,0.0
2010-01-16,22.23,0.13
2010-01-17,25.86,0.0
2010-01-18,25.68,5.43
2010-01-19,23.53,2.2
2010-01-20,24.12,0.0
2010-01-21,26.0,0.0
2010-01-22,26.38,0.0
2010-01-23,26.92,0.0
2010-01-24,27.19,0.0
2010-01-25,27.2,0.0
2010-01-26,27.5,0.0
2010-01-27,28.19,0.0
2010-01-28,28.41,0.0
2010-01-29,29.72,1.87
2010-01-30,26.06,37.05
2010-01-31,20.94,18.48
2010-02-01,26.12,0.49
2010-02-02,26.76,34.36
2010-02-03,25.73,37.54
2010-02-04,19.24,4.15
2010-02-05,22.51,17.43
2010-02-06,23.63,13.78
2010-02-07,24.57,8.37
2010-02-08,21.09,0.0
2010-02-09,22.97,0.0
2010-02-10,23.7,0.07
2010-02-11,25.88,0.0
2010-02-12,25.62,0.0
2010-02-13,25.66,3.74
2010-02-14,19.14,0.0
2010-02-15,21.38,1.14
2010-02-16,20.69,14.28
2010-02-17,21.17,0.0
2010-02-18,24.26,0.05
2010-02-19,24.84,56.09
2010-02-20,20.18,11.67
2010-02-21,21.52,20.79
2010-02-22,24.21,58.24
2010-02-23,20.53,0.0
2010-02-24,16.57,0.0
2010-02-25,15.38,0.0
2010-02-26,17.36,0.05
2010-02-27,19.43,0.0
2010-02-28,19.95,0.0
2010-03-01,21.15,0.0
2010-03-02,23.34,1.33
2010-03-03,23.4,5.05
2010-03-04,23.22,0.0
2010-03-05,22.63,0.0
2010-03-06,23.85,0.0
2010-03-07,23.51,0.0
2010-03-08,22.89,0.0
2010-03-09,23.65,4.04
2010-03-10,21.94,0.3
2010-03-11,19.96,0.0
2010-03-12,19.32,0.04
2010-03-13,21.58,0.43
2010-03-14,18.2,0.0
2010-03-15,16.69,0.0
2010-03-16,17.78,0.0
2010-03-17,22.41,5.19
2010-03-18,23.39,7.43
2010-03-19,24.03,5.42
2010-03-20,21.24,1.01
2010-03-21,19.01,51.99
2010-03-22,16.31,0.0
2010-03-23,17.99,0.0
2010-03-24,19.36,0.0
2010-03-25,18.45,0.0
2010-03-26,18.66,0.0
2010-03-27,21.3,0.0
2010-03-28,22.56,0.0
2010-03-29,21.31,0.05
2010-03-30,22.46,0.01
2010-03-31,23.27,0.01
2010-04-01,20.2,0.38
2010-04-02,17.5,5.42
2010-04-03,13.45,0.06
2010-04-04,12.48,0.01
2010-04-05,12.45,0.04
2010-04-06,14.62,0.0
2010-04-07,16.28,0.0
2010-04-08,16.16,0.0
2010-04-09,17.68,0.0
2010-04-10,17.79,0.0
2010-04-11,19.43,0.0
2010-04-12,20.18,1.27
2010-04-13,15.31,28.74
2010-04-14,12.57,21.79
2010-04-15,12.19,0.18
2010-04-16,13.74,0.0
2010-04-17,16.37,0.0
2010-04-18,19.67,0.34
2010-04-19,18.17,0.02
2010-04-20,15.3,1.3
2010-04-21,13.47,0.12
2010-04-22,11.32,0.0
2010-04-23,8.53,0.0
2010-04-24,10.0,0.03
2010-04-25,12.86,0.0
2010-04-26,13.28,0.0
2010-04-27,13.76,0.0
2010-04-28,13.77,0.0
2010-04-29,13.24,0.0
2010-04-30,14.67,0.0
2010-05-01,16.68,0.0
2010-05-02,16.01,0.0
2010-05-03,15.62,0.13
2010-05-04,14.75,0.0
2010-05-05,15.73,0.0
2010-05-06,12.84,1.91
2010-05-07,9.1,0.0
2010-05-08,11.44,0.0
2010-05-09,12.22,0.0
2010-05-10,10.91,0.0
2010-05-11,10.24,0.0
2010-05-12,12.1,0.0
2010-05-13,14.34,0.0
2010-05-14,15.28,0.03
2010-05-15,12.6,0.3
2010-05-16,8.2,0.01
2010-05-17,8.94,0.1
2010-05-18,11.16,0.04
2010-05-19,13.05,0.01
2010-05-20,15.01,0.04
2010-05-21,17.32,3.25
2010-05-22,17.45,6.25
2010-05-23,15.23,18.76
2010-05-24,13.65,1.59
2010-05-25,12.07,0.01
2010-05-26,12.96,0.0
2010-05-27,13.49,0.02
2010-05-28,15.25,2.64
2010-05-29,14.26,51.7
2010-05-30,10.16,0.66
2010-05-31,6.47,0.0
2010-06-01,7.4,0.0
2010-06-02,9.88,0.0
2010-06-03,12.5,0.13
2010-06-04,10.19,0.01
2010-06-05,10.68,0.0
2010-06-06,11.33,0.0
2010-06-07,10.14,0.0
2010-06-08,8.41,0.0
2010-06-09,7.12,0.0
2010-06-10,7.95,0.0
2010-06-11,10.07,0.0
2010-06-12,12.22,0.19
2010-06-13,12.85,1.38
2010-06-14,14.33,22.2
2010-06-15,10.01,0.0
2010-06-16,9.86,0.0
2010-06-17,8.88,0.06
2010-06-18,12.0,0.21
2010-06-19,9.74,0.07
2010-06-20,7.95,0.0
2010-06-21,5.9,0.0
2010-06-22,9.18,0.0
2010-06-23,11.39,0.0
2010-06-24,10.08,0.0
2010-06-25,9.13,0.0
2010-06-26,9.65,6.95
2010-06-27,8.46,0.1
2010-06-28,6.46,0.0
2010-06-29,7.22,0.0
2010-06-30,8.34,0.0
2010-07-01,12.13,0.0
2010-07-02,14.72,0.0
2010-07-03,17.94,0.0
2010-07-04,18.61,0.0
2010-07-05,16.24,0.0
2010-07-06,12.06,0.62
2010-07-07,9.32,0.05
2010-07-08,7.9,0.0
2010-07-09,7.09,0.0
2010-07-10,7.9,0.0
2010-07-11,11.3,0.51
2010-07-12,3.43,0.69
2010-07-13,3.9,0.0
2010-07-14,3.66,0.01
2010-07-15,2.33,0.0
2010-07-16,2.01,0.0
2010-07-17,1.61,0.0
2010-07-18,0.97,16.02
2010-07-19,4.1,10.33
2010-07-20,5.25,0.0
2010-07-21,5.94,0.0
2010-07-22,2.76,0.0
2010-07-23,4.1,0.0
2010-07-24,5.44,0.0
2010-07-25,6.49,0.09
2010-07-26,6.94,0.0
2010-07-27,8.26,0.0
2010-07-28,8.38,0.0
2010-07-29,9.31,1.49
2010-07-30,10.52,5.84
2010-07-31,7.06,0.0
2010-08-01,3.44,0.0
2010-08-02,2.74,0.0
2010-08-03,2.55,0.0
2010-08-04,2.71,0.0
2010-08-05,4.42,0.12
2010-08-06,7.33,0.0
2010-08-07,9.5,0.0
2010-08-08,9.89,0.0
2010-08-09,9.02,0.0
2010-08-10,9.54,0.0
2010-08-11,9.06,0.0
2010-08-12,8.78,0.52
2010-08-13,4.79,0.08
2010-08-14,4.97,0.0
2010-08-15,5.98,0.0
2010-08-16,8.15,0.0
2010-08-17,11.86,0.0
2010-08-18,14.27,0.0
2010-08-19,11.13,0.08
2010-08-20,11.32,0.0
2010-08-21,13.23,0.0
2010-08-22,16.31,0.0
2010-08-23,15.67,0.01
2010-08-24,11.48,0.0
2010-08-25,10.59,0.0
2010-08-26,10.92,0.0
2010-08-27,14.39,0.0
2010-08-28,17.25,0.0
2010-08-29,9.64,0.0
2010-08-30,9.26,0.81
2010-08-31,13.44,1.07
2010-09-01,9.3,5.52
2010-09-02,8.22,17.6
2010-09-03,7.97,20.64
2010-09-04,10.33,1.56
2010-09-05,12.78,0.0
2010-09-06,13.98,0.0
2010-09-07,14.75,0.0
2010-09-08,14.11,0.0
2010-09-09,16.37,0.0
2010-09-10,17.33,14.38
2010-09-11,12.78,2.39
2010-09-12,12.02,0.0
2010-09-13,11.01,3.07
2010-09-14,11.6,0.0
2010-09-15,13.72,0.0
2010-09-16,13.03,0.0
