anio,cultivo,tipo_suelo,ph_suelo,materia_organica,temp_media_mes_3,precipitacion_mes_3,temp_media_mes_4,precipitacion_mes_4,temp_media_mes_5,precipitacion_mes_5,dia_optimo
2010,trigo,argiudol,6.5,3.2,21.12451612903226,82.3,14.881333333333334,59.699999999999996,13.049354838709677,87.45,150
2010,maiz,argiudol,6.5,3.2,21.12451612903226,82.3,14.881333333333334,59.699999999999996,13.049354838709677,87.45,255
2010,soja,argiudol,6.5,3.2,21.12451612903226,82.3,14.881333333333334,59.699999999999996,13.049354838709677,87.45,330
2011,trigo,argiudol,6.5,3.2,19.980967741935483,96.88,16.541666666666668,115.12,12.39225806451613,62.629999999999995,145
2011,maiz,argiudol,6.5,3.2,19.980967741935483,96.88,16.541666666666668,115.12,12.39225806451613,62.629999999999995,250
2011,soja,argiudol,6.5,3.2,19.980967741935483,96.88,16.541666666666668,115.12,12.39225806451613,62.629999999999995,325
2012,trigo,argiudol,6.5,3.2,19.960322580645162,130.67,16.732666666666667,33.72,14.43774193548387,108.31,145
2012,maiz,argiudol,6.5,3.2,19.960322580645162,130.67,16.732666666666667,33.72,14.43774193548387,108.31,250
2012,soja,argiudol,6.5,3.2,19.960322580645162,130.67,16.732666666666667,33.72,14.43774193548387,108.31,325
2013,trigo,argiudol,6.5,3.2,17.84774193548387,166.97,16.639,56.83,12.10483870967742,122.10000000000001,145
2013,maiz,argiudol,6.5,3.2,17.84774193548387,166.97,16.639,56.83,12.10483870967742,122.10000000000001,250
2013,soja,argiudol,6.5,3.2,17.84774193548387,166.97,16.639,56.83,12.10483870967742,122.10000000000001,325
2014,trigo,argiudol,6.5,3.2,18.25258064516129,128.11,15.94,156.68,12.786451612903226,92.51,145
2014,maiz,argiudol,6.5,3.2,18.25258064516129,128.11,15.94,156.68,12.786451612903226,92.51,250
2014,soja,argiudol,6.5,3.2,18.25258064516129,128.11,15.94,156.68,12.786451612903226,92.51,325
2015,trigo,argiudol,6.5,3.2,21.039032258064516,102.03,18.888333333333332,82.02,14.632903225806452,141.21,145
2015,maiz,argiudol,6.5,3.2,21.039032258064516,102.03,18.888333333333332,82.02,14.632903225806452,141.21,250
2015,soja,argiudol,6.5,3.2,21.039032258064516,102.03,18.888333333333332,82.02,14.632903225806452,141.21,325
2016,trigo,argiudol,6.5,3.2,19.936774193548384,31.35,15.800666666666666,208.5,11.27,19.44,150
2016,maiz,argiudol,6.5,3.2,19.936774193548384,31.35,15.800666666666666,208.5,11.27,19.44,255
2016,soja,argiudol,6.5,3.2,19.936774193548384,31.35,15.800666666666666,208.5,11.27,19.44,330
2017,trigo,argiudol,6.5,3.2,20.573870967741936,109.1,15.516,281.65,13.400322580645161,85.67,145
2017,maiz,argiudol,6.5,3.2,20.573870967741936,109.1,15.516,281.65,13.400322580645161,85.67,250
2017,soja,argiudol,6.5,3.2,20.573870967741936,109.1,15.516,281.65,13.400322580645161,85.67,325
2018,trigo,argiudol,6.5,3.2,21.281290322580645,51.75,19.84,265.42,14.28741935483871,159.23,150
2018,maiz,argiudol,6.5,3.2,21.281290322580645,51.75,19.84,265.42,14.28741935483871,159.23,255
2018,soja,argiudol,6.5,3.2,21.281290322580645,51.75,19.84,265.42,14.28741935483871,159.23,330
2019,trigo,argiudol,6.5,3.2,18.794193548387096,107.03,16.717333333333332,72.13,13.012258064516129,51.42,145
2019,maiz,argiudol,6.5,3.2,18.794193548387096,107.03,16.717333333333332,72.13,13.012258064516129,51.42,250
2019,soja,argiudol,6.5,3.2,18.794193548387096,107.03,16.717333333333332,72.13,13.012258064516129,51.42,325
2020,trigo,argiudol,6.5,3.2,22.78258064516129,223.3,16.425666666666665,94.21000000000001,12.371935483870969,1.6099999999999999,145
2020,maiz,argiudol,6.5,3.2,22.78258064516129,223.3,16.425666666666665,94.21000000000001,12.371935483870969,1.6099999999999999,250
2020,soja,argiudol,6.5,3.2,22.78258064516129,223.3,16.425666666666665,94.21000000000001,12.371935483870969,1.6099999999999999,325
2021,trigo,argiudol,6.5,3.2,21.718064516129033,85.55,18.752666666666666,103.74000000000001,11.779032258064515,75.3,150
2021,maiz,argiudol,6.5,3.2,21.718064516129033,85.55,18.752666666666666,103.74000000000001,11.779032258064515,75.3,255
2021,soja,argiudol,6.5,3.2,21.718064516129033,85.55,18.752666666666666,103.74000000000001,11.779032258064515,75.3,330
2022,trigo,argiudol,6.5,3.2,18.858387096774194,121.51,16.187333333333335,55.69,11.294516129032258,19.91,145
2022,maiz,argiudol,6.5,3.2,18.858387096774194,121.51,16.187333333333335,55.69,11.294516129032258,19.91,250
2022,soja,argiudol,6.5,3.2,18.858387096774194,121.51,16.187333333333335,55.69,11.294516129032258,19.91,325
2023,trigo,argiudol,6.5,3.2,26.46516129032258,65.87,17.623333333333335,44.88,14.507741935483871,119.64,150
2023,maiz,argiudol,6.5,3.2,26.46516129032258,65.87,17.623333333333335,44.88,14.507741935483871,119.64,255
2023,soja,argiudol,6.5,3.2,26.46516129032258,65.87,17.623333333333335,44.88,14.507741935483871,119.64,330
